"","GRN","COAL","LAB","ID","beta","type","type2"
"226",1,0,0.4,7219084,0.4,"GRN.LAB.COAL","GRN.LAB.COAL"
"227",0,1,0.333333333333333,2718893,0.333333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"228",0,1,0.333333333333333,2761201,0.333333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"229",0.333333333333333,0,1,2800151,0.333333333333333,"LAB.GRN.COAL","LAB.GRN.COAL"
"230",0.307692307692308,1,0,2821931,0.307692307692308,"COAL.GRN.LAB","COAL.GRN.LAB"
"231",0,1,0.6,2864261,0.6,"COAL.LAB.GRN","COAL.LAB.GRN"
"232",0.111111111111111,0,1,2926016,0.111111111111111,"LAB.GRN.COAL","LAB.GRN.COAL"
"233",0,1,0.666666666666667,2969577,0.666666666666667,"COAL.LAB.GRN","COAL.LAB.GRN"
"234",0,1,0.111111111111111,3012402,0.111111111111111,"COAL.LAB.GRN","COAL.LAB.GRN"
"235",0.8,0,1,3748378,0.8,"LAB.GRN.COAL","LAB.GRN.COAL"
"236",0.111111111111111,0,1,3858338,0.111111111111111,"LAB.GRN.COAL","LAB.GRN.COAL"
"237",0.333333333333333,1,0,3969405,0.333333333333333,"COAL.GRN.LAB","COAL.GRN.LAB"
"238",0.333333333333333,0,1,4192803,0.333333333333333,"LAB.GRN.COAL","LAB.GRN.COAL"
"239",1,0,0.428571428571429,7838352,0.428571428571429,"GRN.LAB.COAL","GRN.LAB.COAL"
"240",0.833333333333333,0,1,7847495,0.833333333333333,"LAB.GRN.COAL","LAB.GRN.COAL"
"241",1,0.5,0,8207629,0.5,"GRN.COAL.LAB","GRN.COAL.LAB"
"242",0,0.25,1,8418928,0.25,"LAB.COAL.GRN","LAB.COAL.GRN"
"243",0,0.5,1,1038898,0.5,"LAB.COAL.GRN","LAB.COAL.GRN"
"244",0,0.5,1,1293558,0.5,"LAB.COAL.GRN","LAB.COAL.GRN"
"245",0.473684210526316,0,1,3077271,0.473684210526316,"LAB.GRN.COAL","LAB.GRN.COAL"
"246",0,1,0.125,3114294,0.125,"COAL.LAB.GRN","COAL.LAB.GRN"
"247",0.0666666666666667,0,1,3131186,0.0666666666666667,"LAB.GRN.COAL","LAB.GRN.COAL"
"248",0,1,0.333333333333333,4711985,0.333333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"249",0,1,0.5,6922832,0.5,"COAL.LAB.GRN","COAL.LAB.GRN"
"250",0.571428571428571,0,1,7062947,0.571428571428571,"LAB.GRN.COAL","LAB.GRN.COAL"
"251",0.2,0,1,8107069,0.2,"LAB.GRN.COAL","LAB.GRN.COAL"
"252",1,0,0.454545454545455,8477560,0.454545454545455,"GRN.LAB.COAL","GRN.LAB.COAL"
"253",0,1,0.117647058823529,1046004,0.117647058823529,"COAL.LAB.GRN","COAL.LAB.GRN"
"254",0,1,0.285714285714286,1053576,0.285714285714286,"COAL.LAB.GRN","COAL.LAB.GRN"
"255",0,1,0.333333333333333,1101122,0.333333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"256",0,1,0.153846153846154,1135408,0.153846153846154,"COAL.LAB.GRN","COAL.LAB.GRN"
"257",1,0,0.230769230769231,1147262,0.230769230769231,"GRN.LAB.COAL","GRN.LAB.COAL"
"258",0.230769230769231,0,1,1167640,0.230769230769231,"LAB.GRN.COAL","LAB.GRN.COAL"
"259",1,0.416666666666667,0,1171323,0.416666666666667,"GRN.COAL.LAB","GRN.COAL.LAB"
"260",0.428571428571429,0,1,1180073,0.428571428571429,"LAB.GRN.COAL","LAB.GRN.COAL"
"261",0.666666666666667,1,0,1188823,0.666666666666667,"COAL.GRN.LAB","COAL.GRN.LAB"
"262",0,0.714285714285714,1,1208473,0.714285714285714,"LAB.COAL.GRN","LAB.COAL.GRN"
"263",0.769230769230769,1,0,1210932,0.769230769230769,"COAL.GRN.LAB","COAL.GRN.LAB"
"264",0,0.2,1,1245423,0.2,"LAB.COAL.GRN","LAB.COAL.GRN"
"265",0.333333333333333,0,1,1297929,0.333333333333333,"LAB.GRN.COAL","LAB.GRN.COAL"
"266",0,1,0.222222222222222,1314526,0.222222222222222,"COAL.LAB.GRN","COAL.LAB.GRN"
"267",0,0.111111111111111,1,1329814,0.111111111111111,"LAB.COAL.GRN","LAB.COAL.GRN"
"268",1,0.5,0,1557498,0.5,"GRN.COAL.LAB","GRN.COAL.LAB"
"269",0,1,0.222222222222222,1608825,0.222222222222222,"COAL.LAB.GRN","COAL.LAB.GRN"
"270",0,0.75,1,1663818,0.75,"LAB.COAL.GRN","LAB.COAL.GRN"
"271",0.75,0,1,1836687,0.75,"LAB.GRN.COAL","LAB.GRN.COAL"
"272",0.8,0,1,1888602,0.8,"LAB.GRN.COAL","LAB.GRN.COAL"
"273",0.4,1,0,1915066,0.4,"COAL.GRN.LAB","COAL.GRN.LAB"
"274",0.75,0,1,1999902,0.75,"LAB.GRN.COAL","LAB.GRN.COAL"
"275",0.75,0,1,2043149,0.75,"LAB.GRN.COAL","LAB.GRN.COAL"
"276",0,0.571428571428571,1,2043675,0.571428571428571,"LAB.COAL.GRN","LAB.COAL.GRN"
"277",0.473684210526316,0,1,2082622,0.473684210526316,"LAB.GRN.COAL","LAB.GRN.COAL"
"278",0,1,0.5,2705558,0.5,"COAL.LAB.GRN","COAL.LAB.GRN"
"279",0.142857142857143,0,1,2148072,0.142857142857143,"LAB.GRN.COAL","LAB.GRN.COAL"
"280",1,0,0.75,2420133,0.75,"GRN.LAB.COAL","GRN.LAB.COAL"
"281",0.7,0,1,2622932,0.7,"LAB.GRN.COAL","LAB.GRN.COAL"
"282",1,0,0.684210526315789,2687818,0.684210526315789,"GRN.LAB.COAL","GRN.LAB.COAL"
"283",1,0,0.428571428571429,2763815,0.428571428571429,"GRN.LAB.COAL","GRN.LAB.COAL"
"284",0,1,0.75,2787657,0.75,"COAL.LAB.GRN","COAL.LAB.GRN"
"285",0.75,0,1,2817768,0.75,"LAB.GRN.COAL","LAB.GRN.COAL"
"286",0.615384615384615,1,0,2825795,0.615384615384615,"COAL.GRN.LAB","COAL.GRN.LAB"
"287",1,0,0.625,2879326,0.625,"GRN.LAB.COAL","GRN.LAB.COAL"
"288",1,0,0.866666666666667,2884659,0.866666666666667,"GRN.LAB.COAL","GRN.LAB.COAL"
"289",1,0,0.692307692307692,2917703,0.692307692307692,"GRN.LAB.COAL","GRN.LAB.COAL"
"290",1,0,0.75,2930350,0.75,"GRN.LAB.COAL","GRN.LAB.COAL"
"291",0.625,0,1,3464058,0.625,"LAB.GRN.COAL","LAB.GRN.COAL"
"292",0.5,0,1,2976051,0.5,"LAB.GRN.COAL","LAB.GRN.COAL"
"293",0.285714285714286,0,1,3239098,0.285714285714286,"LAB.GRN.COAL","LAB.GRN.COAL"
"294",0,1,0.666666666666667,3505763,0.666666666666667,"COAL.LAB.GRN","COAL.LAB.GRN"
"295",0,0.8,1,5061381,0.8,"LAB.COAL.GRN","LAB.COAL.GRN"
"296",0.333333333333333,0,1,5331081,0.333333333333333,"LAB.GRN.COAL","LAB.GRN.COAL"
"297",0,1,0.4,5354181,0.4,"COAL.LAB.GRN","COAL.LAB.GRN"
"298",0,0.5,1,6541986,0.5,"LAB.COAL.GRN","LAB.COAL.GRN"
"299",0.625,1,0,7141666,0.625,"COAL.GRN.LAB","COAL.GRN.LAB"
"300",0.571428571428571,1,0,8292536,0.571428571428571,"COAL.GRN.LAB","COAL.GRN.LAB"
"301",0,1,0.8,8385785,0.8,"COAL.LAB.GRN","COAL.LAB.GRN"
"302",0,0.7,1,8620067,0.7,"LAB.COAL.GRN","LAB.COAL.GRN"
"303",0,1,0.4,8671396,0.4,"COAL.LAB.GRN","COAL.LAB.GRN"
"304",0.6,0,1,8951235,0.6,"LAB.GRN.COAL","LAB.GRN.COAL"
"305",0,1,0.363636363636364,5174081,0.363636363636364,"COAL.LAB.GRN","COAL.LAB.GRN"
"306",0,1,0.117647058823529,5254057,0.117647058823529,"COAL.LAB.GRN","COAL.LAB.GRN"
"307",0.75,0,1,5810544,0.75,"LAB.GRN.COAL","LAB.GRN.COAL"
"308",0.2,1,0,5850545,0.2,"COAL.GRN.LAB","COAL.GRN.LAB"
"309",0,0.7,1,6426931,0.7,"LAB.COAL.GRN","LAB.COAL.GRN"
"310",0,0.833333333333333,1,6466889,0.833333333333333,"LAB.COAL.GRN","LAB.COAL.GRN"
"311",0,1,0.444444444444444,7116541,0.444444444444444,"COAL.LAB.GRN","COAL.LAB.GRN"
"312",0,1,0.285714285714286,7161144,0.285714285714286,"COAL.LAB.GRN","COAL.LAB.GRN"
"313",0.2,0,1,7208531,0.2,"LAB.GRN.COAL","LAB.GRN.COAL"
"314",0,0.333333333333333,1,7291316,0.333333333333333,"LAB.COAL.GRN","LAB.COAL.GRN"
